date,headline,article_text,url,source,language,ticker
2026-02-09,Al Jomaih &amp; Shell Lubricating Oil Company (JOSLOC) and Al Nakhlah National Company (NANCO) forge strategic partnership to power Saudi Arabia&#039;s mobility,"As Saudi Arabia continues to strengthen its transportation and logistics industry, efficient mobility remains a key driver of growth and reliable service delivery. For organizations managing large fleets, reliability and consistent performance are essential to keeping operations running smoothly and meeting commitments every day. Building on this shared commitment to excellence, Al Jomaih & Shell Lubricating Oil Company and Al Nakhlah National Company (NANCO) are proud to announce the signing of a strategic, lubricants supply agreement. Through this partnership, NANCO’s extensive, diversified fleet will be supported by Al Jomaih and Shell Lubricating Oil Company premium lubricant solutions, thereby strengthening operational efficiency, safety, and reliability across the Kingdom’s transportation and logistics sectors.The partnership aligns with the Kingdom's vision for enhanced logistical capabilities and robust infrastructure, ensuring that the vehicles and machinery driving development are supported by world-class technology and expertise. Fahad Al Qahtani, CEO of Al Jomaih & Shell Lubricating Oil Company, said: ""This strategic partnership with NANCO, a leader in Saudi Arabia's transportation sector, highlights our shared values of quality and reliability. Al Jomaih and Shell Lubricating Oil Company bring global technical expertise and a portfolio of premium lubricants engineered to protect engines, reduce operational costs, and enhance efficiency. We are fully committed to supporting NANCO's ambitious operations and contributing to their continued success, creating partnership-driven growth within the Kingdom."" Khalid Al Qahtani, Chairman of Board of Directors of Al Nakhlah National Company (NANCO), said: ""Our operations are built on a foundation of safety, reliability and service to our customers and the nation. Choosing a partner for our lubricants supply is a decision that directly impacts our fleet's performance and our ability to deliver on our promises. This partnership is a strategic investment in our operational efficiency and fleet longevity, and we look forward to achieving new heights of performance together."" The lubricants supply agreement between Al Jomaih & Shell Lubricants Oil Co. and NANCO covers the comprehensive supply of advanced lubricants for NANCO's fleet operations throughout Saudi Arabia. It is a strategic, partnership focused on delivering tangible value through enhanced fleet reliability, operational efficiency, and optimized maintenance performance.",https://saudigazette.com.sa/article/658803/business/al-jomaih-shell-lubricating-oil-company-josloc-and-al-nakhlah-national-company-nanco-forge-strategic-partnership-to-power-saudi-arabias-mobility,saudigazette_73,en,2010
2026-02-09,"World Defense Show 2026 reflects maturity, scale and global confidence, says Mansour Al-Babtain","As the World Defense Show (WDS) enters its third edition, the event has moved decisively from launch phase to global fixture. Speaking during World Defense Show 2026, Mansour Al-Babtain, Vice President for Commercial Partnerships and Liaison at the World Defense Show, reflects on the show’s growing international stature, its role in advancing Saudi Arabia’s defense localization agenda, and how WDS is positioning itself as a serious, integrated platform for long-term industrial and strategic collaboration. Q1: World Defense Show has quickly established itself on the global defense calendar. From your perspective, what defines this edition of WDS?This edition reflects maturity. World Defense Show is no longer introducing itself to the global defense community; it is operating as a fully established platform. What defines WDS 2026 is the scale of engagement and the seriousness of intent we are seeing across government, industry, and international delegations. Crucially, it remains the only global defense exhibition structured around five fully integrated domains: air, land, sea, space, and security.From the outset, the Show has been designed around integration — not only across these five domains, but across people, institutions, and industry. That is particularly visible this year in the depth of dialogue, the quality of participation, and the outcomes emerging throughout the week.Q2: Many global defense exhibitions focus on scale or spectacle. How does WDS distinguish itself in practical terms?WDS distinguishes itself through operational realism and structure. It is a purpose-built venue that allows companies and delegations to see capabilities operating in realistic conditions, including live air displays, land demonstrations, unmanned systems, and integrated content programs, all within a single environment.This year, that operational realism is further enhanced through four new dedicated zones: the Future Defense Lab, the Saudi Supply Chain Zone, the Unmanned Systems Zone, and the Naval Zone. Each provides a focused environment where specific capabilities can be demonstrated, assessed, and discussed in context.That matters because defense decision-making today is increasingly about systems working together, not standalone platforms. WDS moves the conversation beyond brochures and static displays into something tangible and credible.Q3: What does the level of international participation at WDS say about Saudi Arabia’s position in the global defense ecosystem today?It reflects confidence. International companies and delegations participate where they see long-term opportunity and seriousness of purpose. The breadth of participation at WDS — with exhibitors from more than 80 countries, spanning established defense primes, technology providers, SMEs, and innovators — signals that Saudi Arabia is viewed as a central and credible player in the global defense and security landscape.Importantly, this participation is not symbolic. It is structured around engagement, dialogue, and partnership exploration, which is what gives the Show its relevance beyond the exhibition halls.Q4: World Defense Show is closely aligned with Vision 2030. How does that alignment translate in practice during the Show?Vision 2030 is ultimately about building sustainable capability — economic, industrial, and human. WDS supports that by acting as a platform where those elements intersect.From an economic perspective, the Show contributes directly to GDP and employment. The previous edition generated approximately SAR 500 million in GDP impact and supported more than 4,600 jobs across event delivery, services, logistics, and the wider ecosystem. This year builds on that trajectory, with the Show now spanning 273,000 square meters across four fully sold-out exhibition halls, alongside significantly expanded participation and programming.At the same time, WDS creates visibility and access by connecting Saudi entities with international partners, investors, and technology providers within a structured and transparent environment.Q5: Localization is a national priority, led by the General Authority for Military Industries. What role does WDS play in supporting that agenda?WDS does not define localization policy; that role sits clearly with the General Authority for Military Industries. What WDS does is provide the platform that enables those conversations to happen efficiently and credibly.The Kingdom has made substantial progress, reaching 24.89% defense localization by the end of 2024, demonstrating clear momentum toward the Vision 2030 target of 50%. WDS supports that trajectory by bringing together the entire ecosystem — Saudi industry, international companies, supply-chain players, technology providers, investors, and decision-makers — in one place.Localization outcomes emerge from these interactions, but the value of WDS lies in convening the right stakeholders and creating visibility around opportunity at scale.Q6: The Saudi Supply Chain Zone has been a visible feature at this year’s Show. Why is this important from WDS’s perspective?The Saudi Supply Chain Zone reflects the practical side of engagement. With 57 Saudi companies participating, it creates a dedicated environment where Saudi SMEs and industrial players can connect directly with international primes, systems integrators, and potential partners.From WDS’s perspective, it is about creating structured visibility and access, allowing conversations around capability, partnership models, and supply-chain integration to happen efficiently and transparently. The Zone facilitates supplier qualification discussions, joint venture exploration, and technology collaboration pathways that support the broader localization agenda.While the Show does not lead localization policy, it plays an important enabling role by bringing the ecosystem together in one place.Q7: Beyond exhibitions and demonstrations, how important are the leadership and content programs at WDS?They are critical. Defense today is as much about strategy, integration, and resilience as it is about hardware. The leadership discussions and content theaters provide context, helping participants understand how capabilities fit into wider operational, economic, and geopolitical realities.The programs address real-world challenges, including multi-domain integration, operational resilience, AI and autonomous systems, cyber defense, and the shift toward co-development and localization. They elevate the quality of engagement by enabling structured exchanges between policymakers, industry leaders, and innovators.Q8: Talent development has featured strongly at WDS this year. Why is that significant?Long-term capability depends on people. The Future Talent Program reflects a clear recognition that defense ecosystems are built not only on technology, but on skills, education, and human capital.By exposing Saudi students and young professionals to real industry environments — including engineering, advanced manufacturing, innovation, and emerging technologies — the Show supports workforce readiness and awareness, complementing national efforts to build a future-ready talent pipeline aligned with Vision 2030.Q9: From your vantage point, what does success look like for World Defense Show beyond headline announcements?Success is measured by continuity. It is not just about what is announced during the week, but about what continues afterward — partnerships that progress, discussions that deepen, and relationships that evolve into long-term collaboration.Previous editions of WDS facilitated multi-billion-riyal agreements and industrial partnerships, many of which have matured into operational programs, joint ventures, and technology collaborations. That continuity is the true measure of impact.Q10: Looking ahead, how do you see World Defense Show evolving over the coming editions?The evolution of the Show will continue to be guided by relevance rather than size alone. As defense technologies, supply chains, and partnership models evolve, WDS will continue adapting its programs, platforms, and structure to reflect those shifts.The objective remains consistent: to provide a serious, international platform that supports integration, industrial development, and long-term collaboration, aligned with Saudi Arabia’s ambitions and the needs of the global defense community.",https://saudigazette.com.sa/article/658775/business/world-defense-show-2026-reflects-maturity-scale-and-global-confidence-says-mansour-al-babtain,saudigazette_73,en,2010
2026-02-08,Jeeny and Al Rajhi Bank launch Saudi Arabia’s first fully integrated ride-hailing loyalty ecosystem,"Jeeny, the region’s leading smart mobility platform, announced on Sunday a strategic partnership with Al Rajhi Bank to integrate Mokafaa, Saudi Arabia’s leading loyalty program, directly into the Jeeny ride-hailing experience. The partnership marks a major step toward redefining everyday mobility by embedding rewards into daily transportation, turning daily rides into a smarter and more rewarding choice for customers across the Kingdom. By bringing together everyday mobility with one of Saudi Arabia’s strongest loyalty ecosystems, Jeeny and Al Rajhi Bank share a clear vision: delivering tangible, practical value that goes beyond convenience. The collaboration is designed to help users better manage transportation costs, save more over time, and benefit from rewards that naturally encourage continued usage, without changing how they move or pay. At the heart of the partnership is Saudi Arabia’s first fully integrated Earn & Burn loyalty experience within ride-hailing. By embedding Mokafaa directly into the ride journey, Jeeny becomes the first ride-hailing app in the Kingdom to enable users to seamlessly earn and redeem loyalty points within a single, end to end experience transforming daily commuting into a continuous source of value. As part of this integration, users earn 4 Mokafaa points for every SR1 spent on Jeeny rides, regardless of payment method. Points are earned automatically through everyday commuting, allowing customers to unlock value from mobility they already rely on, helping them better manage transportation costs over time. Accumulated Mokafaa points can be redeemed to top up the Jeeny Wallet and pay for rides directly, helping lower future ride costs in a way that supports long-term affordability rather than one-off discounts. This approach reinforces sustainable savings and positions loyalty as an integral part of daily mobility. To support smooth adoption, the rollout is anchored in a user-centric education approach. Customers are guided step by step through linking their Mokafaa accounts, understanding how points are earned on each ride, and using rewards through the Jeeny app, ensuring clarity on how everyday rides contribute to future savings. As Jeeny continues to play an active role in Saudi Arabia’s digital transformation, this partnership reflects a shared commitment to building mobility solutions that are accessible, value-driven, and designed for long-term growth, contributing to a more connected, rewarding, and digitally enabled mobility ecosystem across the Kingdom.",https://saudigazette.com.sa/article/658766/business/jeeny-and-al-rajhi-bank-launch-saudi-arabias-first-fully-integrated-ride-hailing-loyalty-ecosystem,saudigazette_73,en,2010
2026-02-08,"The Residences at The St. Regis Marsa Arabia Island, The Pearl – Qatar: Waterfront ownership with 5–8% guaranteed returns for Saudi investors","For individuals in Saudi Arabia seeking regional diversification without compromising on lifestyle, privacy, or prestige, Qatar continues to present compelling opportunities—particularly within its most established waterfront destinations. At the forefront stands The Residences at The St. Regis Marsa Arabia Island, The Pearl – Qatar, a refined residential development that seamlessly blends branded living with structured investment performance.The St. Regis Marsa Arabia Island is one of the most distinguished enclaves within The Pearl Island, defined by its elegant marina setting, curated dining, and world-class amenities, set on an island within an island.The environment is calm yet vibrant, offering a high level of privacy and sophistication that resonates strongly with families and investors accustomed to premium waterfront destinations. As a freehold zone, The Pearl Island continues to attract regional and international demand, reinforcing its reputation as a stable and mature real estate destination within the Gulf.Ownership opportunities at The Residences at The St. Regis Marsa Arabia Island are designed to cater to both end-users and investors, offering a range of fully furnished, turnkey options:•1 to 4-bedroom apartments•Duplex townhouses•Exclusive penthousesAll residences are fully furnished and St. Regis serviced, allowing owners to enjoy a seamless luxury lifestyle or benefit from a professionally managed investment asset from day one.Ownership trusted by global buyersConfidence in a real estate investment is often reflected by who chooses to own there. The Residences at The St. Regis Marsa Arabia Island have attracted discerning international homeowners from around the world, including Saif Ali Khan, who has personally acquired a residence within the development.His decision reflects the project’s appeal not as a short-term trend, but as a long-term lifestyle and investment choice—driven by brand credibility, location quality, and the assurance of St. Regis living. For investors, this represents a strong market signal of confidence from experienced global buyers.The value of branded ownershipWhat sets these residences apart is the enduring strength of The St. Regis brand. Ownership extends beyond a physical residence into a lifestyle shaped by globally recognized service standards, timeless design, and meticulous attention to detail.This brand affiliation not only elevates the day-to-day living experience but also plays a critical role in supporting long-term asset value, tenant demand, and international market appeal—key considerations for Saudi investors acquiring property outside the Kingdom.Beyond lifestyle appeal, the investment fundamentals are equally compelling. Select ownership options at The St. Regis Marsa Arabia Island, offers guaranteed returns ranging from 5% to 8%, providing a great investment opportunity within a luxury framework.This structure is particularly attractive to individuals seeking income-generating assets that are professionally managed, backed by a globally recognized hospitality brand, and positioned within a high-demand waterfront location. The flexibility for personal use alongside structured returns further strengthens the proposition.Why the Pearl Island – Qatar continues to attract regional capital?The Pearl Island has established itself as Qatar’s most recognizable residential destination, known for its integrated master planning, waterfront living, and international community. Within it, The St. Regis Marsa Arabia Island stands out for its boutique marina character, offering exclusivity without isolation, and vibrancy without congestion.Ownership at The Residences at The St. Regis Marsa Arabia Island represents a considered regional investment—one that aligns prestige, performance, and place. For Saudi investors seeking exposure beyond domestic markets while remaining within the Gulf, this address offers reassurance through brand strength, confidence through proven buyer demand, and stability through guaranteed returns, subject to terms and conditions.To learn more, contact the exclusive sales agency – Qatar Sotheby’s International Realty at +97433693335 or info@qatarsothebysrealty.com",https://saudigazette.com.sa/article/658764/business/the-residences-at-the-st-regis-marsa-arabia-island-the-pearl-qatar-waterfront-ownership-with-58-guaranteed-returns-for-saudi-investors,saudigazette_73,en,2010
2026-02-08,Saudi flynas to launch joint airline in Syria,"DAMASCUS — Saudi Arabia’s low-cost carrier flynas has signed an agreement to establish a new joint airline in Syria.The agreement, signed in Damascus, establishes flynas Syria as a joint venture between flynas and the Syrian Civil Aviation Authority, with ownership split 49 percent for flynas and 51 percent for the Syrian General Authority of Civil Aviation and Air Transport.The signing took place in the presence of the Syrian president and forms part of a broader package of strategic Saudi-Syrian investment agreements coordinated with the Saudi Ministry of Investment. **media[2659505]** The announcement coincided with the signing of a memorandum of understanding to develop and operate Aleppo International Airport, signaling a parallel effort to rehabilitate critical aviation infrastructure alongside airline operations.Saudi General Authority of Civil Aviation President Abdulaziz Al-Duailej said the two agreements reflect “a strategic direction toward building an integrated aviation ecosystem that enhances regional connectivity and supports economic development in both countries.”He added that Saudi Arabia is ready to work closely with Syrian authorities across multiple tracks, including airport development and the rehabilitation of air navigation infrastructure.Once operational, flynas Syria is expected to connect Syria with destinations across the Middle East, Africa, and Europe, facilitating passenger movement while supporting trade and tourism.Saudi Minister of Investment Khalid Al-Falih said the initiative demonstrates the Kingdom’s commitment to high-quality cross-border investments, describing aviation as a key enabler of economic development and positioning flynas Syria as a model for constructive investment cooperation.Hisham Al-Assari, President of the Syrian General Authority of Civil Aviation and Air Transport, said the project supports Syria’s national vision to rebuild and modernize its civil aviation sector, with a focus on safety, operational sustainability, and alignment with global best practices.flynas CEO Bandar Al-Mohanna said the investment reflects confidence in Syria’s long-term economic potential and strategic geographic position, noting that the country is well placed to serve as a regional air travel hub.In December 2025, civil aviation authorities from Saudi Arabia and Syria signed a memorandum of understanding in Riyadh covering technical cooperation and discussions to update the Air Transport Services Agreement, establishing the regulatory framework for expanded air services between the two countries.Commercial operations of flynas Syria are scheduled to begin in the fourth quarter of 2026, subject to the completion of licensing and operational procedures in line with international aviation safety and security standards.",https://saudigazette.com.sa/article/658757/business/saudi-flynas-signs-deal-to-launch-flynas-syria-joint-airline,saudigazette_73,en,2010
2026-02-07,stc Group signs an agreement to implement the Silklink project in Syria,"stc Group, Saudi Arabia’s leading digital enabler, announced that it has signed an agreement to implement the Silklink project in the Syrian Arab Republic.This signing comes after the Group winning a competitive process for the project, which was attended by most regional telecommunications companies.With an investment of more than SR3 billion, Silklink aims to enhance telecommunications infrastructure and connect Syria regionally and internationally via a fibre-optic network extending over 4,500 kilometers, alongside the establishment of data centers and international submarine cable landing stations.The project provides high data transfer capacities and greater reliability, enabling telecom operators in Syria and the region to offer advanced communication services, and support digital applications, cloud services and the Internet of Things, in addition to improving internet quality and raising the efficiency of the digital infrastructure within Syria.The Silklink project is an extension of stc Group's strategy to expand its investments in cross-border digital infrastructure, and to build a regional connectivity system linking Arab, Asian and European markets, which enhances the Group's position as a leading digital enabler in the region and supports its plans for sustainable growth in the telecommunications and digital services sector.",https://saudigazette.com.sa/article/658737/business/stc-group-signs-an-agreement-to-implement-the-silklink-project-in-syria,saudigazette_73,en,2010
2026-02-05,"Saudi Awwal Bank delivers SR8.5 billion net profit in 2025, ahead of its centenary","Summary of results for 2025:•Net Profit after Zakat and Income Tax: SR8,452 million, representing a 5% year-on-year increase from SR 8,070 million•Total Operating Income: SR14,724 million, representing a 5% year-on-year increase from SR14,018 million•Net Loans and Advances: SR299 billion, representing a 15% year-on-year increase from SR259 billion•Customer Deposits: SR323 billion, representing a 21% year-on-year increase from SR267 billion•Total Equity: SR79 billion, representing a 14% year-on-year increase from SR69 billionMs. Lubna S. Olayan, Chair of the Board of Directors of the Saudi Awwal Bank (SAB), announced on Thursday the Bank’s financial results for the year ended 31 December 2025, marking a year of strong financial performance as SAB prepares to celebrate its centenary in 2026. For the year ended 31 December 2025, SAB demonstrated strong financial performance, recording a net profit after Zakat and Income Tax of SR 8,452 million, an increase of 5% compared to 2024. Total operating income rose by 5% year-on-year to SR 14,724 million, reflecting sustained business momentum and disciplined execution of the bank’s strategy.Net loans and advances reached SR299 billion, up 15% year-on-year, while customer deposits grew to SR323 billion, an increase of 21% year-on-year, which underscored the strength of SAB’s franchise and funding position. Total equity increased to SR79 billion, highlighting the Bank’s strong capital base, prudent balance sheet management, and sustained profitability. Ms. Olayan, Chair of SAB, said: “2025 was a year of strong financial performance and disciplined execution. Our consistent delivery reflects the strength of our business model, our focus on operational efficiency, and our commitment to creating long-term value for all stakeholders. Our revenues continue to grow despite lower benchmark rates demonstrating the impact of our strategy.” During the year, SAB continued to deliver faster-than-market growth, with loans expanding by 15%. Growth remained well balanced across retail and wholesale banking, supporting priority sectors aligned with the Kingdom’s Vision 2030 transformation. Operational efficiency initiatives and disciplined cost management, together with strong asset quality, contributed to a return on tangible equity of 14.5%. Sustainability remained a core strategic priority. SAB exceeded its sustainable finance ambition, growing its sustainable finance portfolio to SR45 billion. SAB also issued two green-labelled bonds totaling USD 1.9 billion which strengthened its capital base, and launched the first Green Mortgage in Saudi Arabia. The Bank’s progress was reflected in improved ESG ratings, including an upgrade by MSCI to ‘A’. Ms. Olayan added: “As we prepare to enter SAB’s second century, we are well positioned to support the Kingdom’s Vision 2030 ambitions and to build on our unique legacy as Saudi Arabia’s first bank. Our diversified business model, strong capital position, and disciplined execution underpin our ability to navigate evolving market conditions and continue delivering sustainable growth.” In 2025, SAB’s performance and leadership were recognized through multiple regional and international awards, including Best Bank in Saudi Arabia, Best ESG Bank in Saudi Arabia, Best Digital Bank, Best Corporate Bank, and Best Private Bank, reflecting the Bank’s continued focus on financial performance, sustainability, innovation, digital capabilities, customer satisfaction, and corporate governance. Ms. Olayan concluded: “On behalf of the Board, I would like to thank our customers for their continued trust, our employees and management for their commitment and dedication, and our regulators and strategic partner, HSBC, for their ongoing support, which enable SAB to continue delivering this strong and sustainable performance.” About SAB:Saudi Awwal Bank (SAB) is one of the largest banks in the Kingdom, with a history in Saudi Arabia spanning over 90 years. Over the past nine decades, it has been an active partner in supporting the Kingdom’s economic growth and social development. SAB is a leading corporate and institutional international bank in the Kingdom with a top Wealth & Personal Banking proposition. SAB is also a leader in in trade finance, foreign exchange, debt wholesale banking, digital service innovation, and ESG, in Saudi Arabia and the broader region. SAB offers integrated financial and banking services, including corporate banking, investment, private banking, and treasury. The bank’s paid-up capital is SR 20.5 billion, following its legal merger with Alawwal Bank in 2019, when it was formerly known as the Saudi British Bank (SABB). SAB operates under the supervision and regulation of the Saudi Central Bank, and is a partner of the HSBC Group.",https://saudigazette.com.sa/article/658714/business/saudi-awwal-bank-delivers-sr85-billion-net-profit-in-2025-ahead-of-its-centenary,saudigazette_73,en,2010
2026-02-05,Saudia’s rebrand pays dividends as Riyadh Air enters market,"RIYADH — Saudia’s decision to rebrand three years ago is delivering strong commercial and reputational gains as the Kingdom’s aviation sector expands with the launch of Riyadh Air, the airline’s marketing chief said.Speaking at the Saudi Media Forum, Saudia Group Chief Marketing Officer Khalid Tash said the rebrand, launched three years ago, was designed to reposition the Kingdom’s flagship carrier for a new phase of growth, while reinforcing its national identity and long aviation heritage.“Three years ago, we decided to renew Saudia’s visual identity as the airline entered a new phase of development and transformation,” Tash said. “The goal was to evolve without losing who we are.”Rather than creating an entirely new brand, Saudia drew inspiration from its own history, particularly the 1970s, which Tash described as a golden era marked by creativity, strong service culture and forward-looking design.“The 1970s were ahead of their time,” he said. “There was a conscious decision to return to our roots while presenting them in a modern way.”Tash said the rebrand also helped clearly distinguish Saudia’s identity ahead of the launch of Riyadh Air, positioning each carrier with a different brand proposition.“A commercial brand creates emotions and associations,” he said. “We want Saudia to stand for authenticity and national pride. This is our niche.”He downplayed concerns about competition with Riyadh Air, describing the emergence of a second national airline as positive for the sector.“We do not see Riyadh Air as a competitor,” Tash said.“Competition in pricing and services is healthy and benefits the Kingdom. The objective is to connect Saudi Arabia to as many destinations as possible and attract more visitors.”Tash said the rebrand has produced measurable results, both commercially and in public perception.Saudia has recorded growth in sales and bookings over the past three years, alongside improvements in revenues and operational performance, he said, noting that the airline has benefited from wider economic growth across Saudi Arabia.The group tracks brand performance through two indicators: reputation score and brand value. According to Tash, Saudia’s reputation score has improved by about 31 percent over the past three years, reflecting both customer experience and public perception.More striking, he said, has been the growth in brand value.“Before the rebrand, Saudia’s brand value stood at $506 million,” Tash said. “Today it has reached $1.1 billion, more than doubling in three years.”Tash said branding decisions at Saudia carry a broader responsibility beyond commercial considerations.“We represent a country,” he said. “Every detail must rise to the level of representing Saudi Arabia itself.”",https://saudigazette.com.sa/article/658701/business/saudia-brand-value-jumps-to-11bn-after-rebrand-tash-says,saudigazette_73,en,2010
2026-02-05,BAE Systems at World Defense Show 2026,"BAE Systems will mark 60 years of partnership in the Kingdom of Saudi Arabia (KSA) at the World Defense Show in Riyadh from 8th – 12th February, one of the most comprehensive defense exhibitions held in the Kingdom and region.For six decades, the Company’s presence has been built on trust, shared responsibility, and sustained delivery evolving through capability development, localisation, skills transfer, and long-term support to national defense and security outcomes.BAE Systems is a Principal Partner in the show’s Future Talent Programme reflecting its legacy in the Kingdom and ongoing commitment to support Vision 2030, driving localisation, developing Saudi talent, and strengthening sovereign defene capability within the Kingdom.It currently employs 7,000 people in 11 locations across the Kingdom, with 80% of its people being Saudi nationals, including within its Kingdom Partner Companies, BAE Systems Arabian Industries and International Systems Engineering.Across the five days, World Defense Show 2026 will showcase the full breadth of BAE Systems’ interoperability and multi-domain capability, highlighting the products, services, and partnerships which underpin the long-standing defene relationship between the KSA and the United Kingdom.The display will span air, land, sea, and training domains, including advanced combat air technologies such as Typhoon and its Striker ® II helmet-mounted display, future uncrewed platforms like T-150 and Koios, precision effects including the combat-proven APKWS® ,and next-generation training and mission-readiness solutions such as Project OdySSEy. Maritime autonomy will also feature through systems including Nautomate™ and Herne™, demonstrating intelligent operations in complex environments.Steve Clutton, Managing Director, BAE Systems Saudi Arabia, said: “World Defense Show 2026 reflects how far our partnership with the Kingdom has matured. This year is about more than showcasing capability, it’s about investing in Saudi talent, strengthening local industry, and building a defense ecosystem that is ready for the future. The future of defense in the Kingdom starts with developing Saudi capability today.”The show will also highlight key developments within BAE Systems’ local partner companies, including BAE Systems Arabian Industries, specialising in capability, training and logistics, and International Systems Engineering, who deliver secure, intelligent and sovereign digital solutions shaped for national defense priorities.As Principal Partner of the Future Talent Programme, BAE Systems’ participation in World Defense Show 2026 places a renewed emphasis on people and long-term capability. For the first time, the Future Talent Programme will run across the full five days of the show, creating sustained opportunities to engage with both early-career and experienced professionals. The programme will offer practical insight into career pathways across engineering, technology, and defense, reinforcing the role of Saudi talent in building a resilient, locally anchored defense industry aligned with Vision 2030.",https://saudigazette.com.sa/article/658692/business/bae-systems-at-world-defense-show-2026,saudigazette_73,en,2010
2026-02-04,INNOPROM Trade Fair to boost industrial and trade cooperation prospects between Russia and Saudi Arabia,"The International Industrial Trade Fair “INNOPROM Saudi Arabia”, one of the highly esteemed trade fairs in the Kingdom, is set to take place this year from 8 to 10 February at The Arena Venue in Riyadh, welcoming the industrial market communities. Recognized as a global B2B platform that brings together manufacturers and buyers from around the world, the exhibition is anticipated to attract numerous Saudi-based industrial enterprises in the Kingdom which will include prominent local authorities and investment agencies, such as the Ministry of Investment, Ministry of Industry and Mineral Resources, Invest Saudi, MODON, and other Saudi organizations. Over 200 Russian companies are expected to take part this year as exhibitors and delegates at INNOPROM’s mega-scale exhibitory space, which boasts over 6,000 sq. m. in capacity, to demonstrate their products and innovations across various fields such as machine building and component manufacturing, metallurgy and new materials, digital solutions, transport and energy technologies, metropolitan solutions, healthcare technologies and other key industrial market sectors. The largest participants in the trade fair will include Rostec, Rosatom, Roscosmos, Transneft, Callisto Vision, the Centre for the Development of Perspective Technologies, Natsproektstroy, the exposition by ‘Made in Russia’ manufacturing companies, in addition to regional booths of Moscow, St. Petersburg, Tatarstan, Krasnodar, Chelyabinsk and Samara Regions, among many others. More than 10 keynote panel discussions and B2B sessions are scheduled to take place as part of the event’s Business Program, which will include its flagship plenary session – ‘Investing in the Future: Innovation and Industrial Cooperation’. The highly-anticipated panel session will be attended by Minister of Investment of Saudi Arabia Khalid Al-Falih; Minister of Industry and Mineral Resources of Saudi Arabia Bandar Alkhorayef; Minister of Industry and Trade of the Russian Federation Anton Alikhanov; and heads of other major industrial companies and investment agencies. Since its inception, INNOPROM has operated as the main industrial trade fair in Russia, which has been running annually for more than 15 years at the country’s key industrial center, Ekaterinburg. In 2025, Saudi Arabia participated as the Partner Country, presenting an exhibition area of 1,512 sq. m., which was led by Minister of Industry and Mineral Resources Bandar Alkhorayef. Relatively, Saudi Arabia’s participation as Partner Country this year at INNOPROM in Ekaterinburg reflects its success and effectiveness, which were underlined by both Saudi and Russian counterparts. This was further noted by Waleed S. Al-Rubaie, Head of the Saudi Ministry of Investment’s Department of Petrochemicals and Conversion Industries, who highlighted that the Kingdom “needs many Russian companies to establish and launch production in Saudi Arabia and across the entire Middle East and North Africa.” Given the strong interest from the Russian and Saudi business communities, INNOPROM will be held in Riyadh for the first time this year. The exhibition is supported by the Ministry of Investment of Saudi Arabia and the Ministry of Industry and Trade of the Russian Federation, positioning it as an accelerator platform for developing current and new strategic partnerships and projects over the long run. This year, the INNOPROM trade fair will be exclusively held in Riyadh at The Arena Venue where interested visitors can register free-of-charge through the official website: https://ksa.biwexpo.com/en/attendance-formats?utm_source=PR.",https://saudigazette.com.sa/article/658676/business/innoprom-trade-fair-to-boost-industrial-and-trade-cooperation-prospects-between-russia-and-saudi-arabia,saudigazette_73,en,2010
